id,post_url  ,white_family,children,white_supremacy,POC,Passive_women,Active_women,chadwife,religion,men,slavic
165814,https://rose-lily-field.tumblr.com/post/664549916284190720 ,,,,,1,1,,1,,
18886,https://rose-lily-field.tumblr.com/post/668118512239296512 ,,,,,,,,1,,
93420,https://rose-lily-field.tumblr.com/post/670481964747423744 ,,,,,1,,,1,,
81769,https://rose-lily-field.tumblr.com/post/651897896950775808/calendula ,,,,,,,,1,,
55703,https://rose-lily-field.tumblr.com/post/649896837146427392 ,,1,,,,,,1,,
101043,https://rose-lily-field.tumblr.com/post/665471722572709888 ,,1,,,,,,1,,
66866,https://rose-lily-field.tumblr.com/post/694034656178372608 ,,,,,,,,1,,
36866,https://rose-lily-field.tumblr.com/post/649601376938262528 ,,1,,,,,,1,,
136935,https://rose-lily-field.tumblr.com/post/653044082338414592/the-alps ,,,,,,,,1,,
67266,https://rose-lily-field.tumblr.com/post/655580803257008128 ,,1,,,,,,1,,
16924,https://rose-lily-field.tumblr.com/post/641153219358228480/when-walking-down-the-street-everyone-seems-to ,,,,,,,1,,,
102988,https://rose-lily-field.tumblr.com/post/653859449894846464 ,,,,,,,,1,,
164074,https://rose-lily-field.tumblr.com/post/657203611730853888 ,,,,,,1,,1,,
176386,https://rose-lily-field.tumblr.com/post/684051878711050240 ,,,,,,,,1,,
111396,https://rose-lily-field.tumblr.com/post/651050946057633793 ,,,,,1,,,1,,
143726,https://rose-lily-field.tumblr.com/post/660488890836287488 ,,1,,,,,,1,,
67403,https://rose-lily-field.tumblr.com/post/652819600621322240 ,,,,,,,,1,,
23326,https://rose-lily-field.tumblr.com/post/662194383028895744 ,,,,,,,,1,,
188069,https://rose-lily-field.tumblr.com/post/641301823066619904/i-have-a-locket-like-this-one-it-has-photos-of ,,,,,,,,1,,
97222,https://rose-lily-field.tumblr.com/post/648452058972897280 ,,,,,,,,1,,
47994,https://rose-lily-field.tumblr.com/post/653134674394218496 ,,,,,1,,,1,,
